time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
1.58,27.18106474,2.42197E-05,8.26127E-05,17.92597374,-5.04144E-06,-5.58173E-06,0,-9.6531E-06,7.1983E-05
1.59,27.36032497,2.40386E-05,8.26161E-05,17.92607368,-5.03955E-06,-5.57062E-06,0,-9.45179E-06,7.20392E-05
1.6,27.53958622,2.38596E-05,8.26194E-05,17.92617596,-5.03777E-06,-5.55934E-06,0,-9.25218E-06,7.2091E-05
1.61,27.7188485,2.36826E-05,8.26225E-05,17.92628056,-5.0361E-06,-5.54791E-06,0,-9.0543E-06,7.21383E-05
1.62,27.89811184,2.35078E-05,8.26254E-05,17.92638745,-5.03453E-06,-5.53633E-06,0,-8.85819E-06,7.21813E-05
1.63,28.07737626,2.3335E-05,8.26281E-05,17.92649661,-5.03307E-06,-5.52461E-06,0,-8.66391E-06,7.222E-05
1.64,28.25664178,2.31644E-05,8.26305E-05,17.92660801,-5.0317E-06,-5.51276E-06,0,-8.47148E-06,7.22544E-05
1.65,28.43590842,2.29959E-05,8.26327E-05,17.92672163,-5.03042E-06,-5.50078E-06,0,-8.28094E-06,7.22846E-05
1.66,28.61517622,2.28296E-05,8.26346E-05,17.92683744,-5.02923E-06,-5.48869E-06,0,-8.09232E-06,7.23106E-05
1.67,28.79444518,2.26655E-05,8.26361E-05,17.92695543,-5.02814E-06,-5.47649E-06,0,-7.90566E-06,7.23325E-05
1.68,28.97371533,2.25036E-05,8.26373E-05,17.92707556,-5.02713E-06,-5.46419E-06,0,-7.72099E-06,7.23504E-05
1.69,29.1529867,2.23439E-05,8.26382E-05,17.92719781,-5.0262E-06,-5.4518E-06,0,-7.53833E-06,7.23644E-05
1.7,29.33225929,2.21864E-05,8.26386E-05,17.92732217,-5.02535E-06,-5.43932E-06,0,-7.35771E-06,7.23745E-05
1.71,29.51153315,2.20312E-05,8.26387E-05,17.92744859,-5.02457E-06,-5.42676E-06,0,-7.17916E-06,7.23808E-05
1.72,29.69080827,2.18782E-05,8.26385E-05,17.92757707,-5.02388E-06,-5.41413E-06,0,-7.0027E-06,7.23835E-05
1.73,29.8700847,2.17275E-05,8.26378E-05,17.92770758,-5.02325E-06,-5.40144E-06,0,-6.82835E-06,7.23825E-05
1.74,30.04936243,2.1579E-05,8.26367E-05,17.9278401,-5.02269E-06,-5.38869E-06,0,-6.65614E-06,7.2378E-05
1.75,30.2286415,2.14329E-05,8.26353E-05,17.92797459,-5.0222E-06,-5.37589E-06,0,-6.48608E-06,7.23701E-05
1.76,30.40792193,2.1289E-05,8.26335E-05,17.92811104,-5.02178E-06,-5.36305E-06,0,-6.3182E-06,7.23588E-05
1.77,30.58720373,2.11473E-05,8.26313E-05,17.92824942,-5.02141E-06,-5.35017E-06,0,-6.1525E-06,7.23444E-05
1.78,30.76648692,0.000021008,8.26288E-05,17.92838972,-5.02111E-06,-5.33726E-06,0,-5.98901E-06,7.23268E-05
1.79,30.94577153,2.08709E-05,8.26259E-05,17.9285319,-5.02087E-06,-5.32433E-06,0,-5.82774E-06,7.23062E-05
1.8,31.12505757,2.07362E-05,8.26227E-05,17.92867595,-5.02069E-06,-5.31139E-06,0,-5.6687E-06,7.22826E-05
1.81,31.30434506,2.06037E-05,8.26192E-05,17.92882184,-5.02057E-06,-5.29843E-06,0,-5.5119E-06,7.22563E-05
1.82,31.48363401,2.04734E-05,8.26153E-05,17.92896955,-5.0205E-06,-5.28548E-06,0,-5.35736E-06,7.22273E-05
1.83,31.66292445,2.03455E-05,8.26112E-05,17.92911906,-5.02048E-06,-5.27253E-06,0,-5.20508E-06,7.21956E-05
1.84,31.8422164,2.02198E-05,8.26068E-05,17.92927034,-5.02052E-06,-5.25959E-06,0,-5.05507E-06,7.21615E-05
1.85,32.02150987,2.00964E-05,8.26022E-05,17.92942337,-5.02061E-06,-5.24667E-06,0,-4.90733E-06,7.21249E-05
1.86,32.20080487,1.99752E-05,8.25973E-05,17.92957812,-5.02075E-06,-5.23377E-06,0,-4.76188E-06,7.2086E-05
1.87,32.38010143,1.98563E-05,8.25923E-05,17.92973459,-5.02095E-06,-5.22089E-06,0,-4.61872E-06,7.2045E-05
1.88,32.55939957,1.97397E-05,8.2587E-05,17.92989274,-5.02119E-06,-5.20806E-06,0,-4.47785E-06,7.20018E-05
